application_id,application_code,application_title,application_group,application_wording,application_responses,application_act_section,application_act_summary,active,date_used_from,date_used_to
,CA20001,Application under Commonwealth Act 1920,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Commonwealth Act 1920,Commonwealth Act 1920,true,2026-08-26,
,UN56001,Application under United Nations 1956 [sometimes called the New York Convention 1956],Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",United Nations 1956 [sometimes called the New York Convention 1956],United Nations 1956 (New York Convention),true,2026-08-26,
,HC07003,Application under Hague Convention 2007,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Hague Convention 2007,Hague Convention 2007,true,2026-08-26,
,HC73001,Application under Hague Convention 1973,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Hague Convention 1973,Hague Convention 1973,true,2026-08-26,
,MO72012,Application under USA Part I & II,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",USA Part I & II,Part I of the Maintenance Orders (Reciprocal Enforcement) Act 1972 (as applied to the United States via reciprocal enforcement orders),true,2026-08-26,
,CA89002,Application under UK Children Act 1989,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Children Act 1989,Children Act 1989,true,2026-08-26,
,EU20001,Application under withdrawal Agreement (WAC),Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Withdrawal Agreement (WAC),Application under the EU–UK Withdrawal Agreement (2019) – “WAC cases” (as implemented by the European Union (Withdrawal Agreement) Act 2020),true,2026-08-26,
,LC00001,Application under Lugano Convention,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Lugano Convention,Lugano Convention,true,2026-08-26,
,RE72001,Application under Reciprocal Maintenance Act 1972,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Reciprocal Enforcement Act 1972,Reciprocal Enforcement Act 1972,true,2026-08-26,
,AV00001,Application to Vary/Revoke an Order,Create Casefile,Application to Vary/Revoke an Order made on [order date] sitting at [court] for [order terms].,"[{""name"":""Order date"",""prompt"":""Order date"",""type"":""date"",""mandatory"":""Yes""},{""name"":""Court"",""prompt"":""Court"",""type"":""menu-autocomplete"",""mandatory"":""Yes"",""options"":""Courts-API""},{""name"":""Order terms"",""prompt"":""Order terms"",""type"":""text-1000"",""mandatory"":""Yes""}]",Application to Vary/Revoke an Order,Application to Vary/Revoke an Order,true,2026-08-26,
,AP00001,Application to Appeal,Create Casefile,Application to appeal an Order made on [order date] by [court] for [order terms]. On the grounds [grounds for appeal].,"[{""name"":""Order date"",""prompt"":""Order date"",""type"":""date"",""mandatory"":""Yes""},{""name"":""Court"",""prompt"":""Court"",""type"":""menu-autocomplete"",""mandatory"":""Yes"",""options"":""Courts-API""},{""name"":""Order terms"",""prompt"":""Order terms"",""type"":""text-1000"",""mandatory"":""Yes""},{""name"":""Grounds for appeal"",""prompt"":""Grounds for appeal"",""type"":""text-1000"",""mandatory"":""Yes""}]",Application to Appeal,Application to Appeal,true,2026-08-26,
,CV00001,Conversion of EU/WAC case from pay direct between parties to pay HMCTS,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Conversion Cases Pay Direct to Pay HMCTS,Conversion Cases Pay Direct to Pay HMCTS,true,2026-08-26,
